audio,transcription
/Users/air/Downloads/Ненецкие аудио/data/009_3422.84375_8535.968750000002.wav,"иисус няндо' ма ненэся нянда"" мадм' тюкохона нуни"" поӈгана мэни"""
/Users/air/Downloads/Ненецкие аудио/data/009_9126.59375_13834.71875.wav,"ханяӈы"" ненэця"" нум' параӈода' я ӈарка ныхым' мэць товдавэй' ни"" хаӈгу"""
/Users/air/Downloads/Ненецкие аудио/data/009_15606.593750000002_23925.968750000004.wav,"мат"" яля' ваера""махад иисус тохоламбадахатата петрм' иаковм' иоаннм' тэра тикарида няць пирця хой' ни' танэй"""
/Users/air/Downloads/Ненецкие аудио/data/009_25022.84375_33544.71875.wav,"ӈаво"" пирка""на сэвто' сыртан' пыда мирбяда ӈани несэйӈэ хая ембдярода сырадарев' ӈули"" сэракоӈэ яберенаӈэ хая"""
/Users/air/Downloads/Ненецкие аудио/data/009_34827.21875_41262.71067861589.wav,"сэв"" пэсьда"" я' сяр' ниня хибяхарт тикахад ваць тамна сэракоӈэ серта нида пирас"""
/Users/air/Downloads/Ненецкие аудио/data/009_42245.02931570597_49896.59375.wav,"тикы' пуд няндо' илия моисей ӈадимяха' иисус' ня' помнандо' лаханакурць пэяд"""
/Users/air/Downloads/Ненецкие аудио/data/009_50487.21875_59987.84375.wav,"петр ӈани' иисусан' ма равви тюкохона мэвава"" маня"" нянана"" ӈули"" сава няхар"" мятава"" сертахава"" ӈопой мя"" пыдар мя""ал ӈэӈгу"
/Users/air/Downloads/Ненецкие аудио/data/009_60696.59375000001_70433.46875.wav,"нябиюм' моисей' ед' ӈэӈгу ӈани ӈопойхав илия' мя"" ӈэӈгу"" нив' петр няхаюта тотрев' сейнда хэсь вадам' хось я""ма ӈадьбята тарця вади хэтвы"
/Users/air/Downloads/Ненецкие аудио/data/009_71429.09375_78010.34375.wav,"ӈаво"" пирка""на тир ӈадимя сиддо' тикы тир тидхананда тонда тир' мюд му' тэбкада"
/Users/air/Downloads/Ненецкие аудио/data/009_78854.09375_87139.71875.wav,"тикы мань сянда нюми муӈганда намдорӈада"" пыдо' лакри' сидя хэвувнандо' сылыд"" иисус' хавна хэвханандо' хибяхартм' ни"" манэс"""
/Users/air/Downloads/Ненецкие аудио/data/009_88506.59375000001_96606.59375.wav,"хой' нид ха""мотаб""нандо' иисус няндо' тарем' табеку ненэця' нюӈэ вадета ха""махаданда яӈор' илелты"""
/Users/air/Downloads/Ненецкие аудио/data/009_97214.09375_106562.84375.wav,"теда' манэ""мыда"" та' ёльцянд' хибяхартан' нёйда"" вадес"" пыдо' табекохонда намда"" манэ""мыдо' хибяхартан' нидо' вадес"" помнандо' тарем' нидо' хонрамби"""
/Users/air/Downloads/Ненецкие аудио/data/009_107490.96875_116097.21875.wav,"ха""махаданда яӈор' илелты"" тикы вадита хамэди"" ханзер"" ӈа тадтикахад иисусм' хонра"" моисей' ватом' теневана"" ӈамгэ тарем' лахана пэрӈа"""
/Users/air/Downloads/Ненецкие аудио/data/009_116772.21875_122357.84375.wav," христос' това' нерня илия тобта тара пыда няндо' тарем' ма ненэся ӈод"" тарця"
/Users/air/Downloads/Ненецкие аудио/data/009_122864.09375_130845.96875.wav,илия ӈахакуд нерде серо хамэдаванзь тованзь пэрӈа тиканда ӈамгэ хэбидя падаркана ненэця' ню' нямна тарем' пады
/Users/air/Downloads/Ненецкие аудио/data/009_131672.84375_140177.84375000003.wav,"ненэця' нюӈэ вадета саць маяндорманда волтамбувнда вэнзер' пэрманда мань нянда"" мадм' илия мале тось"
/Users/air/Downloads/Ненецкие аудио/data/009_140954.09375_146691.59375.wav,"ханзер"" хэбидя падаркана нямнанда падса тарем' сита ненэця"" харвабцондо' сер' вэнзер' пэрӈаць"
/Users/air/Downloads/Ненецкие аудио/data/009_148902.21875_157592.84375.wav,"пыдо' тэвбато' иисус' тохоламбади"" няби пеля ненэцие"" мандал' поӈгана мэвы"" моисей' ватом' теневана"" сиддо' няць тасалкурӈа"""
/Users/air/Downloads/Ненецкие аудио/data/009_158807.84375000003_166806.59375000003.wav,"иисусм' манэ""мандо' сер' ненэця"" мал' пысэйд"" неранда няд сюрбыд"" нянда торовата"" иисус тохоламбадида хонрэйда"
/Users/air/Downloads/Ненецкие аудио/data/009_167447.84375_176712.21875.wav,"моисей' ватом' теневани"" ня' ӈаво тасламбида"" ненэцие"" мандал' поӈгад ӈопой хасава вахалъй"" сидна"" тохоламбадава"" нянд хасава нюми тэврадм'"
/Users/air/Downloads/Ненецкие аудио/data/009_177353.46875000003_185959.71875.wav,"пыда нянзи ӈылека пявэда ӈылека нянда тэвбата нюми ян' мо""набтасетыда нянда варан' сисю"" ӈадимзеты"""
/Users/air/Downloads/Ненецкие аудио/data/009_190515.96875_198835.34375.wav,"тад пуна пыхыдада хутерцеты"" мань тохоламбадид ӈылекам' нюхудани питармандо' е""эмня хонрамбинась пыдо' питарць я""мадонзь"
/Users/air/Downloads/Ненецкие аудио/data/009_199881.59375_208099.71875.wav,"иисус няндо' ма нявэй"" пунрёбцора"" тянё мань тамна пон' нянанда"" мэвандадм' мань тамна пон' серта"" сер' ӈэӈгудм'"
/Users/air/Downloads/Ненецкие аудио/data/009_209331.59375_219220.34375.wav,"хаӈгуртара"" няни тэврара"" хаӈгуртам' иисусан' тэврадо' ӈылека иисусм' манэ""манда сер' хасава ӈацекым' манзабтамба пяда тикыкое ян' мо""нэй"""
